id,Name,Year
leonaka01,Kawhi Leonard,2018-19
duranke01,Kevin Durant,2017-18
duranke01,Kevin Durant,2016-17
jamesle01,LeBron James,2015-16
iguodan01,Andre Iguodala,2014-15
leonaka01,Kawhi Leonard,2013-14
jamesle01,LeBron James,2012-13
jamesle01,LeBron James,2011-12
nowitdi01,Dirk Nowitzki,2010-11
bryanko01,Kobe Bryant,2009-10
bryanko01,Kobe Bryant,2008-09
piercpa01,Paul Pierce,2007-08
parketo01,Tony Parker,2006-07
wadedw01,Dwyane Wade,2005-06
duncati01,Tim Duncan,2004-05
billuch01,Chauncey Billups,2003-04
duncati01,Tim Duncan,2002-03
onealsh01,Shaquille O'Neal,2001-02
onealsh01,Shaquille O'Neal,2000-01
onealsh01,Shaquille O'Neal,1999-00
duncati01,Tim Duncan,1998-99
jordami01,Michael Jordan,1997-98
jordami01,Michael Jordan,1996-97
jordami01,Michael Jordan,1995-96
olajuha01,Hakeem Olajuwon,1994-95
olajuha01,Hakeem Olajuwon,1993-94
jordami01,Michael Jordan,1992-93
jordami01,Michael Jordan,1991-92
jordami01,Michael Jordan,1990-91
thomais01,Isiah Thomas,1989-90
dumarjo01,Joe Dumars,1988-89
worthja01,James Worthy,1987-88
johnsma02,Magic Johnson,1986-87
birdla01,Larry Bird,1985-86
abdulka01,Kareem Abdul-Jabbar,1984-85
birdla01,Larry Bird,1983-84
malonmo01,Moses Malone,1982-83
johnsma02,Magic Johnson,1981-82
maxwece01,Cedric Maxwell,1980-81
johnsma02,Magic Johnson,1979-80
johnsde01,Dennis Johnson,1978-79
unselwe01,Wes Unseld,1977-78
waltobi01,Bill Walton,1976-77
whitejo01,Jo Jo White,1975-76
barryri01,Rick Barry,1974-75
havlijo01,John Havlicek,1973-74
reedwi01,Willis Reed,1972-73
chambwi01,Wilt Chamberlain,1971-72
abdulka01,Kareem Abdul-Jabbar,1970-71
reedwi01,Willis Reed,1969-70
westje01,Jerry West,1968-69
